,business_id,state,category,recal_stars
0,AEx2SYEUJmTxVVB18LlCwA,QC,Diners,4.666666666666667
6,VR6GpWIda3SfvPC-lg9H3w,QC,Canadian (New),4.166666666666667
12,ACFtxLv8pGrrxMm6EgjreA,QC,Fast Food,3.571428571428572
19,s2I_Ni76bjJNK9yG60iD-Q,QC,Bakeries,4.4444444444444455
55,9_CGhHMz8698M9-PkVf0CQ,ON,Thai,3.9
75,5r6-G9C4YLbC7Ziz57l3rQ,ON,Fast Food,3.3823529411764706
109,XWTPNfskXoUL-Lf32wSk0Q,ON,Breakfast & Brunch,3.5454545454545454
120,PFPUMF38-lraKzLcTiz5gQ,ON,American (Traditional),4.2
125,oWTn2IzrprsRkPfULtjZtQ,ON,Burgers,3.6458333333333335
173,zgQHtqX0gqMw1nlBZl2VnQ,ON,American (New),3.081081081081081
284,Xy74meQwdTnloAAyRC-4cg,ON,Burgers,2.0
287,hjk3ox7w1akbEuOgTJ03Bw,ON,Vietnamese,3.2142857142857144
301,ZnxudK5ExgpfXs4bicS4IA,ON,Chinese,3.5
303,Eox_Qq74oaFZ-YjthpHhBw,ON,Canadian (New),3.0
308,zxJlg4XCHNoFy78WZPv89w,QC,Breakfast & Brunch,3.25
312,N93EYZy9R0sdlEvubu94ig,ON,Vietnamese,4.233576642335766
449,I8rveLd-dl81u6c8YqAxmw,ON,Japanese,2.5
457,a9aW5e731lplWGHUZ02-zQ,ON,Asian Fusion,4.0
473,vyeQzjZFx6KoL2pJBQ2QFA,ON,Sushi Bars,3.888888888888889
482,D2PmpZYRdRnzL7q4Wprf3Q,ON,Cafes,4.0
485,7Uti5EeAwm3drG14KVrE3Q,ON,Italian,3.888888888888889
494,BmSLyxm8b86dtzwuT7LqBA,ON,Asian Fusion,3.2857142857142856
501,TrOgTZ0DfmQxvpTehiNibQ,ON,Mediterranean,3.1875
517,Uq-GOs9_IqweUsB5MdII9w,ON,Bakeries,4.057142857142857
552,3vs6rARRBm-O99y4bryilw,ON,Japanese,3.5
556,I44P6Pfoey2pArOhhx2RnA,ON,Japanese,3.25
560,zkU-WMio8g6dpRJ2Y2xqvQ,ON,Chinese,4.25
568,P-nqq5kOv2wV2mB5To5elQ,ON,Canadian (New),2.272727272727273
590,3RlylOY452bA8rwliPUeUQ,ON,Korean,3.1428571428571432
604,SCklYa_jhihWAcfIn-_chg,ON,French,3.3870967741935485
635,lRwpFFaFr3QQ5fGHkk3eXQ,ON,Sushi Bars,1.75
643,806kkDGaRCJ4lZLRcEf-iw,QC,Vietnamese,2.875
651,S5bNE4Pmin8OQUMOFod8bQ,ON,Italian,2.933333333333333
666,xpJEBXTCQh5Ib8BJrjt9Bg,ON,Canadian (New),2.583333333333333
678,yuFdJdrnfMp3cfXVwTXjjA,ON,Japanese,3.0
682,rdn0vLw8Ln5_PBwRcE6BZw,ON,Korean,2.888888888888889
691,dw2ST-AHUbu2xq0QNfngBA,ON,American (New),3.4473684210526314
729,ik9VvawL-BeAqlxTI1leew,ON,Japanese,3.5384615384615383
742,1jNteKQ2JuF6Sk1SI9X23Q,ON,Chinese,2.75
746,xNNAfZJkLZlAeS-I7-QwgA,ON,Vietnamese,3.6
756,sTV4qyjDkY5cLvx2omtLyw,ON,Sandwiches,5.0
757,X29BLACjBhOg_P2USv07dA,ON,Chinese,1.0
758,FjTihEfjgq9dm3IJ7S888Q,ON,Canadian (New),3.733333333333333
773,JnKzrXKxY1cThJ0vNk-4pA,ON,Japanese,2.7894736842105257
792,An-JJle53UMHokU4MwFktg,ON,Chinese,3.875
808,ZilzayEdyk70SoI-wruJbg,ON,Chinese,3.5416666666666665
832,oqJe5o_4J0xkhvTSTP9UNQ,ON,Japanese,3.1875
848,yaViddk9vxi-7p8DnjoClw,ON,Sushi Bars,3.0
851,TR0-w6VoZDAdvFQiq7P2Ug,ON,Desserts,4.0
894,4UmjnX46qbhV6-D5W89IOQ,NV,Fast Food,2.75
906,IXXERocY1bqGwRllcy8J2w,WI,Breakfast & Brunch,3.7142857142857135
913,JlNeaOymdVbE6_bubqjohg,AZ,Mexican,3.0909090909090913
924,0Rni7ocMC_Lg2UH0lDeKMQ,AZ,Pizza,3.25
932,uN2oZDJGO078ExbbV_DGmA,ON,Fast Food,2.0
935,qbQ1qZx6eTy7pOOXMBfQNQ,ON,Breakfast & Brunch,3.4545454545454546
946,XCxxPZ3Lu5mwmIo7IQRf1g,ON,Korean,3.5384615384615383
972,VTs4f6LnUMHD4ysOezHSUQ,ON,Fast Food,2.9
982,NUHNLaMg7aMesMdAiie73w,ON,Italian,3.2777777777777777
1000,cefRDEK5O3t_iUuwnmL27Q,ON,Breakfast & Brunch,3.2222222222222223
1009,pmOlcFQg9Vs3ONHpVNNXjA,ON,Breakfast & Brunch,4.5
1013,pOEL97ld-FJMKO8Ki8JmYg,ON,Canadian (New),2.739130434782609
1036,ogSBjY4agU0KDQJ2LOAc0g,ON,Fast Food,4.0
1038,kGOr_D-LNpgZ2M9N8TT4QQ,ON,Breakfast & Brunch,3.3846153846153846
1077,M8_C-be43AQsH_sEgLPFPg,ON,Italian,5.0
1078,9Jc3W0aR9Xf2gcHI0rEXsw,NV,American (Traditional),3.0
1080,xVEtGucSRLk5pxxN0t4i6g,NV,Steakhouses,4.14070351758794
1279,6Toez65egZSMV1iohQWGIQ,ON,Mediterranean,3.0
1283,iL2pb5Khi6jV113vOVQCvA,ON,Mexican,4.6
1288,bKh66jlEqEKZZFkjWipt8w,ON,Breakfast & Brunch,3.636363636363636
1299,lUstDPzw7aEmnHoR2L_SYw,ON,Cafes,4.5
1301,_vZ7bHaGCjllogiZ7RH17w,ON,Asian Fusion,2.6538461538461537
1327,vnIdWzIB2W4j9cDcd6tHAQ,ON,Mexican,4.0
1334,R3Cg6XvdBNXXNbEu6M977A,QC,Pizza,4.0
1338,SN0-O-CuIsyZf3LGZVEUAw,ON,Japanese,3.0
1341,2LZGeJy8qByYKB71ML-jcw,NV,American (Traditional),2.7
1351,DbTpQB1BSi76naw2aHXouQ,ON,Seafood,3.333333333333333
1354,hZuRyS8IXXuEQkUCas9O1Q,ON,Pizza,1.6666666666666667
1357,lFPNibSaYC3Vq4PCGaps_w,ON,Breakfast & Brunch,5.0
1358,qOuoI7hvzBAzF1Y43J7yKQ,ON,Canadian (New),3.75
1362,QePLHlU8MFaU2Sf9dzoLTg,ON,Japanese,3.75
1374,QJg8AuqITB4t_iKrLI6tOw,ON,Delis,5.0
1375,vUqIE5La92aMJrY8kGgwsw,ON,Pizza,4.4
1380,MZ4EEf4VtkeSJURIGgp2AQ,ON,French,4.6
1385,ugDCPgJUCRuNpHSPsMZwkw,ON,Breakfast & Brunch,3.5
1409,5N8R7ALESZ30EoAzVJtabw,ON,Burgers,3.4285714285714284
1437,uF86ZhygpBEGr3CudNemYA,ON,American (New),3.317073170731707
1478,4KHo1LnkM69RtWTDBdG16g,ON,Desserts,4.0
1483,RWYQMss0RzbtDGGwRI3iaQ,ON,Mexican,3.0
1488,nvbfWYxTNq5XgJkcAPcXNQ,ON,Thai,2.8571428571428568
1495,Vg4N2DsGrzzoam9jS1L3Wg,ON,Burgers,3.548387096774193
1526,RkekriZhaIZ7nSJBVept6Q,ON,American (Traditional),3.8235294117647056
1543,Ze4VPogvcD7inc3QuvY_yg,ON,Breakfast & Brunch,2.7777777777777777
1552,TzpqNdtAZHXuIKf2xS0o2A,NV,Mexican,2.083333333333333
1564,kj4xzhQX55ajTFe9DG0YLw,ON,Bakeries,4.0
1566,D-lzSVYyaobiguo7tfSzWw,ON,Fast Food,3.0
1580,OIdOJaNS8M624F58XGV3PQ,ON,Pizza,4.424242424242424
1613,4jg8f82iP4lpjqZcf662HA,ON,Italian,3.5
1617,x3QeZrO_zEzuYzkj2YqBAQ,ON,Italian,5.0
1618,wjW6YN9s-iDq7l9PcUsPZw,PA,American (Traditional),4.25
1626,RhV7sraRUB3km-gF-tmDow,NV,Fast Food,2.555555555555556
1635,tJzf6H1dkuUbL-t8bzL3dw,NV,Steakhouses,3.9230769230769234
1648,FtaTjyMUIY457tPJahjg1A,NV,American (New),2.7096774193548385
1679,i8hkzA5eiUXgbPjN8vK3rQ,NV,Mexican,3.8
1689,yLiaMaJFq03JxXPk4puloQ,NV,Fast Food,2.4444444444444446
1698,ZibmYdOPKLlqDM9oR6xzOA,NV,Asian Fusion,3.8480000000000003
1823,7_F6dA9xh2lydTtr1LCtIQ,NV,Burgers,4.0
1825,Trbt0Ex85yvwT8DHoEFCvg,NV,American (New),3.575
1905,xw6G0T2VQZAtta6RcZoAOQ,NV,Mexican,2.4347826086956523
1951,T8-8C1C7QwxzZcMGK_8H4A,NV,American (Traditional),3.5789473684210527
1989,QhMhM3Mhokv6V-H0MRuYTg,NV,Fast Food,3.25
1993,kfo1hXvNtGGThfrZGaWtVw,NV,Mexican,3.875
