,num_revs,state,category
0,4,QC,Diners
1,1,QC,Diners
2,1,QC,Diners
3,1,QC,Diners
4,1,QC,Diners
5,2,QC,Diners
6,3,QC,Diners
7,2,QC,Diners
8,4,QC,Diners
9,3,QC,Diners
10,3,QC,Diners
11,1,QC,Diners
12,3,QC,Diners
13,1,QC,Diners
14,4,QC,Diners
15,1,QC,Diners
16,2,QC,Diners
17,1,QC,Diners
18,3,QC,Diners
19,3,QC,Diners
20,1,QC,Diners
21,2,QC,Diners
22,2,QC,Diners
23,2,QC,Diners
24,2,QC,Diners
25,1,QC,Diners
26,2,QC,Diners
27,3,QC,Diners
28,4,QC,Diners
29,1,QC,Diners
30,1,QC,Diners
31,3,QC,Diners
32,4,QC,Diners
33,1,QC,Diners
34,2,QC,Diners
35,1,QC,Diners
36,1,QC,Diners
37,2,QC,Diners
38,2,QC,Diners
39,3,QC,Diners
40,3,QC,Diners
41,1,QC,Diners
42,2,QC,Diners
43,2,QC,Diners
44,2,QC,Diners
45,1,QC,Diners
46,6,QC,Diners
47,2,QC,Diners
48,2,QC,Diners
49,1,QC,Diners
50,3,QC,Diners
51,1,QC,Diners
52,4,QC,Diners
53,2,QC,Diners
54,1,QC,Diners
55,3,QC,Diners
56,2,QC,Diners
57,1,QC,Diners
58,2,QC,Diners
59,1,QC,Diners
60,2,QC,Diners
61,3,QC,Diners
62,2,QC,Diners
63,1,QC,Diners
64,2,QC,Diners
65,1,QC,Diners
66,1,QC,Diners
67,3,QC,Diners
68,4,QC,Diners
69,2,QC,Diners
70,2,QC,Diners
71,1,QC,Diners
72,6,QC,Diners
73,1,QC,Diners
74,3,QC,Diners
75,4,QC,Diners
76,4,QC,Diners
77,2,QC,Diners
78,2,QC,Diners
79,1,QC,Diners
80,1,QC,Diners
81,1,QC,Diners
82,1,QC,Diners
83,1,QC,Diners
84,1,QC,Diners
85,1,QC,Diners
86,3,QC,Diners
87,1,QC,Diners
88,4,QC,Diners
89,4,QC,Diners
90,1,QC,Diners
91,4,QC,Diners
92,2,QC,Diners
93,1,QC,Diners
94,2,QC,Diners
95,2,QC,Diners
96,4,QC,Diners
97,1,QC,Diners
98,1,QC,Diners
99,2,QC,Diners
100,1,QC,Diners
101,2,QC,Diners
102,2,QC,Diners
103,2,QC,Diners
104,1,QC,Diners
105,1,QC,Diners
106,1,QC,Diners
107,1,QC,Diners
108,3,QC,Diners
109,3,QC,Diners
110,1,QC,Diners
111,1,QC,Diners
112,1,QC,Diners
113,1,QC,Diners
