,business_id,state,category,recal_stars
0,AEx2SYEUJmTxVVB18LlCwA,QC,Diners,4.571428571428571
14,VR6GpWIda3SfvPC-lg9H3w,QC,Canadian (New),4.5
22,ACFtxLv8pGrrxMm6EgjreA,QC,Fast Food,3.6
27,s2I_Ni76bjJNK9yG60iD-Q,QC,Bakeries,4.162162162162162
101,9_CGhHMz8698M9-PkVf0CQ,ON,Thai,4.266666666666667
116,5r6-G9C4YLbC7Ziz57l3rQ,ON,Fast Food,3.484848484848485
149,XWTPNfskXoUL-Lf32wSk0Q,ON,Breakfast & Brunch,3.25
161,PFPUMF38-lraKzLcTiz5gQ,ON,American (Traditional),4.0
167,oWTn2IzrprsRkPfULtjZtQ,ON,Burgers,3.808823529411765
235,zgQHtqX0gqMw1nlBZl2VnQ,ON,American (New),3.0991735537190084
356,Xy74meQwdTnloAAyRC-4cg,ON,Burgers,3.083333333333333
368,hjk3ox7w1akbEuOgTJ03Bw,ON,Vietnamese,2.8181818181818183
379,ZnxudK5ExgpfXs4bicS4IA,ON,Chinese,1.0
380,Eox_Qq74oaFZ-YjthpHhBw,ON,Canadian (New),3.692307692307693
393,zxJlg4XCHNoFy78WZPv89w,QC,Breakfast & Brunch,3.2
403,N93EYZy9R0sdlEvubu94ig,ON,Vietnamese,4.206666666666667
553,I8rveLd-dl81u6c8YqAxmw,ON,Japanese,2.6666666666666665
559,a9aW5e731lplWGHUZ02-zQ,ON,Asian Fusion,4.035714285714286
587,vyeQzjZFx6KoL2pJBQ2QFA,ON,Sushi Bars,3.2
597,D2PmpZYRdRnzL7q4Wprf3Q,ON,Cafes,2.5
599,7Uti5EeAwm3drG14KVrE3Q,ON,Italian,4.2
614,BmSLyxm8b86dtzwuT7LqBA,ON,Asian Fusion,3.6666666666666665
632,TrOgTZ0DfmQxvpTehiNibQ,ON,Mediterranean,3.1428571428571432
674,Uq-GOs9_IqweUsB5MdII9w,ON,Bakeries,4.1090909090909085
729,3vs6rARRBm-O99y4bryilw,ON,Japanese,2.8
734,I44P6Pfoey2pArOhhx2RnA,ON,Japanese,2.5
740,zkU-WMio8g6dpRJ2Y2xqvQ,ON,Chinese,3.809523809523809
761,P-nqq5kOv2wV2mB5To5elQ,ON,Canadian (New),2.5806451612903225
792,3RlylOY452bA8rwliPUeUQ,ON,Korean,3.0
809,SCklYa_jhihWAcfIn-_chg,ON,French,3.863636363636364
853,lRwpFFaFr3QQ5fGHkk3eXQ,ON,Sushi Bars,1.9090909090909087
864,806kkDGaRCJ4lZLRcEf-iw,QC,Vietnamese,3.631578947368421
883,S5bNE4Pmin8OQUMOFod8bQ,ON,Italian,3.4444444444444446
901,xpJEBXTCQh5Ib8BJrjt9Bg,ON,Canadian (New),3.2
921,yuFdJdrnfMp3cfXVwTXjjA,ON,Japanese,4.0
929,rdn0vLw8Ln5_PBwRcE6BZw,ON,Korean,2.9166666666666665
941,dw2ST-AHUbu2xq0QNfngBA,ON,American (New),3.5
975,ik9VvawL-BeAqlxTI1leew,ON,Japanese,4.1
995,1jNteKQ2JuF6Sk1SI9X23Q,ON,Chinese,2.1538461538461537
1008,xNNAfZJkLZlAeS-I7-QwgA,ON,Vietnamese,3.125
1016,sTV4qyjDkY5cLvx2omtLyw,ON,Sandwiches,4.0
1017,FjTihEfjgq9dm3IJ7S888Q,ON,Canadian (New),4.428571428571429
1024,JnKzrXKxY1cThJ0vNk-4pA,ON,Japanese,2.5
1044,An-JJle53UMHokU4MwFktg,ON,Chinese,3.44
1069,ZilzayEdyk70SoI-wruJbg,ON,Chinese,3.9032258064516134
1100,oqJe5o_4J0xkhvTSTP9UNQ,ON,Japanese,3.8333333333333335
1118,yaViddk9vxi-7p8DnjoClw,ON,Sushi Bars,2.8
1128,TR0-w6VoZDAdvFQiq7P2Ug,ON,Desserts,4.1
1178,4UmjnX46qbhV6-D5W89IOQ,NV,Fast Food,2.5
1180,IXXERocY1bqGwRllcy8J2w,WI,Breakfast & Brunch,4.275862068965517
1209,JlNeaOymdVbE6_bubqjohg,AZ,Mexican,3.571428571428572
1223,0Rni7ocMC_Lg2UH0lDeKMQ,AZ,Pizza,3.8181818181818175
1234,uN2oZDJGO078ExbbV_DGmA,ON,Fast Food,3.0
1240,qbQ1qZx6eTy7pOOXMBfQNQ,ON,Breakfast & Brunch,3.4117647058823533
1257,XCxxPZ3Lu5mwmIo7IQRf1g,ON,Korean,3.8541666666666665
1305,VTs4f6LnUMHD4ysOezHSUQ,ON,Fast Food,3.4
1315,NUHNLaMg7aMesMdAiie73w,ON,Italian,3.5
1327,cefRDEK5O3t_iUuwnmL27Q,ON,Breakfast & Brunch,3.5
1357,pmOlcFQg9Vs3ONHpVNNXjA,ON,Breakfast & Brunch,3.5
1363,pOEL97ld-FJMKO8Ki8JmYg,ON,Canadian (New),2.784313725490196
1414,ogSBjY4agU0KDQJ2LOAc0g,ON,Fast Food,1.6666666666666667
1417,kGOr_D-LNpgZ2M9N8TT4QQ,ON,Breakfast & Brunch,2.8596491228070176
1474,M8_C-be43AQsH_sEgLPFPg,ON,Italian,3.0
1476,9Jc3W0aR9Xf2gcHI0rEXsw,NV,American (Traditional),3.0
1484,xVEtGucSRLk5pxxN0t4i6g,NV,Steakhouses,4.057692307692308
1744,6Toez65egZSMV1iohQWGIQ,ON,Mediterranean,3.8571428571428568
1751,iL2pb5Khi6jV113vOVQCvA,ON,Mexican,4.25
1759,bKh66jlEqEKZZFkjWipt8w,ON,Breakfast & Brunch,3.5454545454545454
1781,lUstDPzw7aEmnHoR2L_SYw,ON,Cafes,2.5
1785,_vZ7bHaGCjllogiZ7RH17w,ON,Asian Fusion,2.7931034482758617
1814,vnIdWzIB2W4j9cDcd6tHAQ,ON,Mexican,3.1428571428571432
1821,R3Cg6XvdBNXXNbEu6M977A,QC,Pizza,4.0
1824,SN0-O-CuIsyZf3LGZVEUAw,ON,Japanese,3.0
1826,2LZGeJy8qByYKB71ML-jcw,NV,American (Traditional),3.1333333333333333
1841,DbTpQB1BSi76naw2aHXouQ,ON,Seafood,3.0
1850,lFPNibSaYC3Vq4PCGaps_w,ON,Breakfast & Brunch,1.5
1852,qOuoI7hvzBAzF1Y43J7yKQ,ON,Canadian (New),4.0
1853,QePLHlU8MFaU2Sf9dzoLTg,ON,Japanese,3.347826086956522
1876,QJg8AuqITB4t_iKrLI6tOw,ON,Delis,4.666666666666667
1879,vUqIE5La92aMJrY8kGgwsw,ON,Pizza,3.555555555555556
1888,MZ4EEf4VtkeSJURIGgp2AQ,ON,French,4.4
1893,ugDCPgJUCRuNpHSPsMZwkw,ON,Breakfast & Brunch,3.263157894736842
1931,5N8R7ALESZ30EoAzVJtabw,ON,Burgers,3.477272727272727
1975,uF86ZhygpBEGr3CudNemYA,ON,American (New),3.5428571428571427
2010,4KHo1LnkM69RtWTDBdG16g,ON,Desserts,3.6666666666666665
2016,RWYQMss0RzbtDGGwRI3iaQ,ON,Mexican,2.6
2021,nvbfWYxTNq5XgJkcAPcXNQ,ON,Thai,2.25
2025,Vg4N2DsGrzzoam9jS1L3Wg,ON,Burgers,3.333333333333333
2046,RkekriZhaIZ7nSJBVept6Q,ON,American (Traditional),4.052631578947368
2065,Ze4VPogvcD7inc3QuvY_yg,ON,Breakfast & Brunch,2.1904761904761907
2086,TzpqNdtAZHXuIKf2xS0o2A,NV,Mexican,2.2142857142857144
2100,kj4xzhQX55ajTFe9DG0YLw,ON,Bakeries,5.0
2101,D-lzSVYyaobiguo7tfSzWw,ON,Fast Food,3.875
2109,OIdOJaNS8M624F58XGV3PQ,ON,Pizza,3.9777777777777783
2154,4jg8f82iP4lpjqZcf662HA,ON,Italian,3.0
2158,x3QeZrO_zEzuYzkj2YqBAQ,ON,Italian,4.0
2161,wjW6YN9s-iDq7l9PcUsPZw,PA,American (Traditional),4.727272727272728
2172,RhV7sraRUB3km-gF-tmDow,NV,Fast Food,3.333333333333333
2175,tJzf6H1dkuUbL-t8bzL3dw,NV,Steakhouses,4.368421052631579
2194,FtaTjyMUIY457tPJahjg1A,NV,American (New),3.2222222222222223
2221,i8hkzA5eiUXgbPjN8vK3rQ,NV,Mexican,3.0769230769230766
2247,yLiaMaJFq03JxXPk4puloQ,NV,Fast Food,1.5882352941176472
2264,ZibmYdOPKLlqDM9oR6xzOA,NV,Asian Fusion,3.8451612903225807
2419,7_F6dA9xh2lydTtr1LCtIQ,NV,Burgers,2.4444444444444446
2428,Trbt0Ex85yvwT8DHoEFCvg,NV,American (New),3.3084112149532716
2535,xw6G0T2VQZAtta6RcZoAOQ,NV,Mexican,2.8947368421052637
2573,T8-8C1C7QwxzZcMGK_8H4A,NV,American (Traditional),3.4761904761904763
2636,QhMhM3Mhokv6V-H0MRuYTg,NV,Fast Food,1.4285714285714286
2643,kfo1hXvNtGGThfrZGaWtVw,NV,Mexican,3.0
2652,XdhJ7PjfMjBmZwvKikWlkA,NV,Pizza,3.888888888888889
2661,q3dJQtwZQrrurNT-1bNKgQ,NV,Italian,4.017045454545454
2837,xoGPeHR2RPnJW470-aYBUQ,NV,American (Traditional),3.333333333333333
2855,RqpL5Y50F9exjyHfpTzp3w,NV,Breakfast & Brunch,2.2
2870,ngs16C2M_uTq2zXamltHVw,NV,Barbeque,4.339622641509433
2923,So132GP_uy3XbGs0KNyzyw,NV,Pizza,4.280701754385965
3037,cZBCVzd4lg_jx8IiFz-Iag,NV,Burgers,5.0
3039,TDTASGFy_aGp6vy0i23mDA,NV,Fast Food,2.375
3047,vGAJwqvfJLoeHdaM-8eRng,NV,Tex-Mex,2.590909090909091
3069,qsJkjQoM3Hdg6Gtqp2S9_w,NV,Thai,3.6883116883116878
3146,Hz-OXis4Hk9l187LPBo_8g,NV,Sandwiches,3.0
3153,h_-KUSA612pFEIGC_dCsKQ,NV,Mexican,2.5
3155,-P8dGzSVhJi-5oZ-8U2y0w,NV,Diners,2.4615384615384617
3168,yz2EimDE7bBvq6b4mDe_zg,NV,Breakfast & Brunch,3.1
3178,diY31IEunbV8MfDh81FS1A,NV,Burgers,3.3666666666666667
3208,yzmvsG3Vo-2_F3_0wHzJdA,NV,Diners,4.288888888888889
3253,T6VKCBhHojQkCWp_IYO24w,NV,Fast Food,2.0
3257,7qFtiPg0gdbk911_mj6LoA,NV,Seafood,4.666666666666667
3263,fcUZ0HlaO1bMW26tzQZVOQ,NV,American (Traditional),1.7777777777777777
3272,_R-rjgz4Kwi4f3u0clFeKg,NV,Cafes,3.0476190476190474
3293,PSRZaGGxXmOmabL2si8pKw,NV,Seafood,3.58974358974359
3332,O9LDS66IUKIBkGz_uFZKWQ,NV,American (Traditional),3.272727272727273
3343,rkqTVzTkLaWSUybaWUMIdA,NV,American (Traditional),3.027027027027027
3380,IOEGLxXwCNiq4P-U359D7Q,NV,Sandwiches,4.097222222222221
3452,i53HvxUdQEMllZ1XmpjjyA,NV,Pizza,1.8571428571428568
3494,QC9bLPcNk6ymAOHf03pHhQ,NV,Mexican,3.5
3496,T00dMi_gQdyQkE9GKJFVSQ,NV,Mexican,4.5
3498,WRQ-9LluyivReFiQZFUujw,NV,Hot Dogs,4.413461538461538
3602,f16oe_yaGBh4AFK_mlBabw,NV,Fast Food,4.0
3603,Gt4z3AylNTsEPDkzkaC7HA,NV,Sandwiches,3.346938775510204
3750,FaoMHRFjrZvD9_RvYZX4oQ,NV,American (Traditional),2.0
3753,iTwYEwBqer2O4OkI_7Ef9A,NV,Burgers,4.304347826086956
3776,ozEDKl0tZw5ob1evx41gcQ,NV,American (Traditional),3.724137931034482
3834,Hv1l2caeF_A6Fahgg5DHDg,NV,Diners,4.083333333333333
3846,CHW_DPKnTqudyRaDa4vwkg,NV,Fast Food,1.7142857142857142
3853,YUE5S4ReiM4dq9qkKbDMwg,NV,Seafood,2.8666666666666667
3883,dJS3iH-odljqWS9MKEFsBA,NV,American (Traditional),2.75
3903,V2owu-O0rrlsGup3FMz2qQ,NV,Fast Food,2.7777777777777777
3912,LNGBEEelQx4zbfWnlc66cw,NV,Desserts,4.0623229461756365
4265,Vay9xHwcvu7VRZOddBgn-A,NV,Diners,4.27906976744186
4351,BuFYIRXZNc0Ti-JSQ-QdvA,NV,Hot Dogs,2.1111111111111107
4360,5jTmjxb1X34EfcY1gos4tw,NV,Fast Food,2.235294117647059
4377,SXV_yKYUAFvQJirAhF0tWQ,NV,Mediterranean,3.2666666666666666
4392,9a9xBjlW2RxKxD9RMgmcuQ,NV,Burgers,2.7142857142857144
4399,g8OnV26ywJlZpezdBnOWUQ,NV,Breakfast & Brunch,3.7432950191570877
4921,8nDEOGVVvReXFJ2zjPh4Pw,NV,Diners,2.6666666666666665
4930,6Vyp-9i1jzwK_bvisuPJpQ,NV,Seafood,3.4444444444444446
5110,v5YvCuj_b26JKAqDcnReFQ,NV,Italian,3.8181818181818175
5121,yvqcZrHixuf_oIUW83xUcQ,NV,Mexican,2.7
5151,QsKhwKYB3YeWXqpIPd5QMg,NV,Steakhouses,3.3684210526315788
5170,w0XjeV4WIUskQy8wwQf40w,NV,American (Traditional),3.9795918367346936
5219,Se-co1eXBho5A4YwMfKMIQ,NV,Breakfast & Brunch,3.8571428571428568
5240,gqcJHVFCPeBRGnDf8bFzMw,NV,Steakhouses,3.555555555555556
5267,nVAJZ6BJ9PPlxDXn976R6A,NV,Burgers,4.072992700729927
5404,WyZAeMGsjUE7OToI4Jdqfw,NV,Mexican,3.125
5420,54WM5coZonA0izd2y04p_A,NV,Sandwiches,3.5945945945945947
5457,tIRn9YlrJ4Y5IyHzY72i9A,NV,Sandwiches,3.333333333333333
5460,PEGtD36MLdfcsD2hc95Kiw,NV,Chicken Wings,1.9230769230769231
5473,EEePiBwchl-TIBVcTdE0RA,NV,Burgers,4.0
5475,S-oLPRdhlyL5HAknBKTUcQ,AZ,Seafood,4.583333333333333
5571,2IvrdAb6zdxr3ZqplqJHbg,NV,Mexican,1.952941176470588
5656,iIjVO7cLD1UEmIO7G05Ujw,AZ,Breakfast & Brunch,3.795918367346939
5705,1JF9TbJ2d5hH8xsQvvklHg,AZ,Mexican,4.620689655172415
5734,poOnGeQlHEnWRAH9t_0KMg,AZ,Pizza,4.6
5744,Ap17p-tA4Ipzy1s35DfCfg,AZ,Steakhouses,4.353658536585366
5826,Yo8ODT7aFMM2xKUd1yaBVw,NV,Salad,3.756756756756757
5863,VG0nWxGsPixYLsyi49gyxQ,NV,Steakhouses,4.243902439024391
5986,KjV_68oLLSpqR96VnV68tw,NV,Fast Food,2.333333333333333
6007,zRqi6L1u-YmmVAHjeUbGMQ,NV,American (New),4.160493827160494
6169,TCoBE_BkDRrK0bWrh5VueQ,NV,Vegetarian,3.9455782312925174
6316,yfxDa8RFOvJPQh0rNtakHA,NV,Vietnamese,3.3687782805429864
6758,f4x1YBxkLrZg652xt2KR5g,NV,American (New),3.9032258064516134
7564,kYvZZ_aKaKLQKeyms74T2Q,NV,Mexican,3.6142857142857134
7634,SR0Q2hAEMJ_m23O_x-khSQ,NV,Vegetarian,3.8271604938271606
7715,B_WggEKFq-ZFNui8CHPYvA,NV,Asian Fusion,4.515463917525774
7812,Wcuo6YmYj3xhCso5sMQcOw,NV,Pizza,4.171875
7876,rq5dgoksPHkJwJNQKlGQ7w,NV,Breakfast & Brunch,4.0353982300884965
7989,lGy7jJ9oVZUJNkmZj7ewgA,NV,Breakfast & Brunch,3.0693069306930694
8090,kZspuWnM0Y-Losvk2Rl0lA,NV,Mediterranean,3.9090909090909087
8134,0d0i0FaJq1GIeW1rS2D-5w,NV,Breakfast & Brunch,4.17910447761194
8268,wPiRP76arN0NB3M1ZXXp7g,NV,Italian,3.4725274725274726
8359,D1Zz5Ea3kgsHUMDH0M-jNA,NV,Sandwiches,4.5
8361,8b5ll2kjXfjgFIqWsjkr8Q,NV,American (Traditional),3.15
8381,DESv2ys6SjBKA4SyDtJvxw,NV,Italian,4.067961165048544
8484,BCAw9a_kyx2RddRH9tMmKQ,NV,American (Traditional),3.3809523809523814
8610,d4qwVw4PcN-_2mK2o1Ro1g,NV,Mexican,3.1960784313725488
8763,bNpgu9sr3K18oLLw-eL75A,NV,Japanese,3.212121212121212
