states,Cuisine,Rating
QC,Diners,3.351362363127069
ON,Diners,3.3686619067359307
NV,Diners,3.2782767271087434
WI,Diners,2.6642450142450143
AZ,Diners,3.5036774712374825
PA,Diners,3.5729113096594296
NC,Diners,3.4227759366578216
IL,Diners,2.1607142857142856
OH,Diners,3.5260860138995955
SC,Diners,3.8571428571428568
QC,Canadian (New),3.685191759912533
ON,Canadian (New),3.3948674291615766
NV,Canadian (New),0.0
WI,Canadian (New),0.0
AZ,Canadian (New),0.0
PA,Canadian (New),0.0
NC,Canadian (New),0.0
IL,Canadian (New),0.0
OH,Canadian (New),0.0
SC,Canadian (New),0.0
QC,Fast Food,3.206084656084656
ON,Fast Food,2.857153545123024
NV,Fast Food,2.5782327975619608
WI,Fast Food,2.5689127410057644
AZ,Fast Food,2.619100598312837
PA,Fast Food,2.8440352933419537
NC,Fast Food,2.467763182997558
IL,Fast Food,2.76875
OH,Fast Food,2.75532680526118
SC,Fast Food,2.5753968253968256
QC,Bakeries,4.2318074704629325
ON,Bakeries,3.778540206909855
NV,Bakeries,3.866681895558768
WI,Bakeries,3.8961915535444938
AZ,Bakeries,3.5166065743659387
PA,Bakeries,3.9127973281199084
NC,Bakeries,4.050136388434261
IL,Bakeries,3.783333333333333
OH,Bakeries,3.6503229574658143
SC,Bakeries,4.333333333333333
QC,Thai,3.3943968413978496
ON,Thai,3.216052848273129
NV,Thai,3.8544437617823615
WI,Thai,3.76162598085675
AZ,Thai,3.858063610396672
PA,Thai,3.8177841165476565
NC,Thai,3.4932141550602616
IL,Thai,3.8244631185807663
OH,Thai,3.775428349766667
SC,Thai,0.0
QC,Breakfast & Brunch,3.6353419100977336
ON,Breakfast & Brunch,3.3923995848852617
NV,Breakfast & Brunch,3.579178732076603
WI,Breakfast & Brunch,3.7240792272179175
AZ,Breakfast & Brunch,3.5560250230446036
PA,Breakfast & Brunch,3.6233727131894984
NC,Breakfast & Brunch,3.451714023194879
IL,Breakfast & Brunch,3.6047148338815
OH,Breakfast & Brunch,3.4338615231062484
SC,Breakfast & Brunch,2.75
QC,American (Traditional),3.3293429919137467
ON,American (Traditional),3.176898264475474
NV,American (Traditional),3.3136678881344523
WI,American (Traditional),3.526856878494299
AZ,American (Traditional),3.2292608576097437
PA,American (Traditional),3.4190507073408063
NC,American (Traditional),3.2951647296477096
IL,American (Traditional),3.0928571428571425
OH,American (Traditional),3.234265978214128
SC,American (Traditional),2.8824254449254445
QC,Burgers,3.3667869864176803
ON,Burgers,3.1153593715014565
NV,Burgers,2.9911099535783148
WI,Burgers,3.093566569484937
AZ,Burgers,2.845982483671832
PA,Burgers,2.9551511037615588
NC,Burgers,2.7521676251774436
IL,Burgers,2.4805821371610843
OH,Burgers,2.8838588586686247
SC,Burgers,2.6107142857142858
QC,American (New),4.121527777777779
ON,American (New),3.2791419282461143
NV,American (New),3.571488664017349
WI,American (New),3.4467578925974767
AZ,American (New),3.516607814910323
PA,American (New),3.45238478842281
NC,American (New),3.445062893265959
IL,American (New),2.504166666666667
OH,American (New),3.538809771743119
SC,American (New),3.1104822737175684
QC,Vietnamese,3.5963399189463017
ON,Vietnamese,3.451923934998628
NV,Vietnamese,3.6413822830014078
WI,Vietnamese,3.84538961038961
AZ,Vietnamese,3.6990148803497904
PA,Vietnamese,3.650261306038922
NC,Vietnamese,3.949444230694231
IL,Vietnamese,3.1547619047619038
OH,Vietnamese,3.9704526915579534
SC,Vietnamese,0.0
QC,Chinese,3.4790755303470915
ON,Chinese,3.210329606353878
NV,Chinese,3.336284354887464
WI,Chinese,3.2829905244261446
AZ,Chinese,3.3218913945324777
PA,Chinese,3.4940236526319737
NC,Chinese,3.2580145781129426
IL,Chinese,3.396759393412537
OH,Chinese,3.3576549340680133
SC,Chinese,3.4393939393939386
QC,Japanese,3.5892403424593633
ON,Japanese,3.437524130589537
NV,Japanese,3.633594936729298
WI,Japanese,3.709739367024685
AZ,Japanese,3.5106331304478866
PA,Japanese,3.4545805334156725
NC,Japanese,3.5494543015835385
IL,Japanese,3.2450148809523807
OH,Japanese,3.6559530905074036
SC,Japanese,3.4166666666666665
QC,Asian Fusion,3.610831863609641
ON,Asian Fusion,3.3659469662102683
NV,Asian Fusion,3.8388105458069735
WI,Asian Fusion,3.4399574667756485
AZ,Asian Fusion,3.617762417798017
PA,Asian Fusion,3.744704570791527
NC,Asian Fusion,3.5464063888914974
IL,Asian Fusion,3.4262345679012345
OH,Asian Fusion,3.7349683649683656
SC,Asian Fusion,2.9206349206349205
QC,Sushi Bars,3.6070376984850667
ON,Sushi Bars,3.3383817257260127
NV,Sushi Bars,3.7793465331114144
WI,Sushi Bars,3.5488447695344245
AZ,Sushi Bars,3.5612534732809062
PA,Sushi Bars,3.625369324231553
NC,Sushi Bars,3.543944519651796
IL,Sushi Bars,3.0376344086021505
OH,Sushi Bars,3.9104113488850327
SC,Sushi Bars,3.727272727272728
QC,Cafes,3.971560492647449
ON,Cafes,3.5101810766384447
NV,Cafes,3.758282586426909
WI,Cafes,4.076307766307767
AZ,Cafes,3.9947498570878337
PA,Cafes,3.8038792906439967
NC,Cafes,3.9807907904061746
IL,Cafes,3.5992063492063493
OH,Cafes,4.094809165929855
SC,Cafes,4.0
QC,Italian,3.7243178579043263
ON,Italian,3.4501814305146667
NV,Italian,3.467492916829384
WI,Italian,3.1316848027986337
AZ,Italian,3.5053720791639567
PA,Italian,3.4003403850458533
NC,Italian,3.3517595900100976
IL,Italian,3.624717194570136
OH,Italian,3.3253200038910693
SC,Italian,3.4711091454125507
QC,Mediterranean,3.83315238002738
ON,Mediterranean,3.4551268226464598
NV,Mediterranean,3.937709478765101
WI,Mediterranean,3.2632729373800804
AZ,Mediterranean,3.7722071540125888
PA,Mediterranean,3.7625035612535616
NC,Mediterranean,3.8374583624611422
IL,Mediterranean,4.0809523809523816
OH,Mediterranean,3.955166680210457
SC,Mediterranean,0.0
QC,Korean,3.891929513900422
ON,Korean,3.4516429890960856
NV,Korean,4.019106681455142
WI,Korean,3.3251282051282054
AZ,Korean,3.24571219147656
PA,Korean,3.905722276949057
NC,Korean,4.1111990950226245
IL,Korean,3.5392773892773888
OH,Korean,4.189709121288068
SC,Korean,0.0
QC,French,3.745712515229756
ON,French,3.6214239295825887
NV,French,4.123256207291823
WI,French,4.228831168831169
AZ,French,3.751816483121104
PA,French,3.8227141545323367
NC,French,4.196281240689134
IL,French,5.0
OH,French,4.4818228366615465
SC,French,0.0
QC,Sandwiches,3.627585665457257
ON,Sandwiches,3.6717672059911513
NV,Sandwiches,3.3319495621783366
WI,Sandwiches,3.1736813718349524
AZ,Sandwiches,3.489139385602072
PA,Sandwiches,3.6561890608091017
