,state,category,cat_mean,state_mean,state_cat_mean
0,QC,Diners,3.46612881615825,3.6299647553115046,3.7317051248811683
1,QC,Canadian (New),3.619308929027041,3.6299647553115046,3.771842495485399
2,QC,Fast Food,2.8410143771269585,3.6299647553115046,3.2556390977443606
3,QC,Bakeries,3.7840172437806796,3.6299647553115046,4.288303421115921
4,ON,Thai,3.547292142856443,3.3973420029690247,3.2560267109973338
5,ON,Fast Food,2.8410143771269585,3.3973420029690247,2.9362204685939775
6,ON,Breakfast & Brunch,3.556090287199512,3.3973420029690247,3.5127972678422883
7,ON,American (Traditional),3.345962702457938,3.3973420029690247,3.16129943259564
8,ON,Burgers,3.0197832738080166,3.3973420029690247,3.1226654805805523
9,ON,American (New),3.5271599865950116,3.3973420029690247,3.3376539688484486
11,ON,Vietnamese,3.58219702378847,3.3973420029690247,3.4702189819138267
12,ON,Chinese,3.3296732343820166,3.3973420029690247,3.242714342919927
13,ON,Canadian (New),3.619308929027041,3.3973420029690247,3.5487491839986847
14,QC,Breakfast & Brunch,3.556090287199512,3.6299647553115046,3.613586855493407
16,ON,Japanese,3.525448767662445,3.3973420029690247,3.4499805312924754
17,ON,Asian Fusion,3.5585777053867274,3.3973420029690247,3.3052141747966006
18,ON,Sushi Bars,3.537939797996439,3.3973420029690247,3.3540188239630964
19,ON,Cafes,3.765571843850624,3.3973420029690247,3.7059241837835892
20,ON,Italian,3.574873602764115,3.3973420029690247,3.565780311848208
22,ON,Mediterranean,3.7209151345079814,3.3973420029690247,3.5142826910251457
23,ON,Bakeries,3.7840172437806796,3.3973420029690247,3.596437717212365
28,ON,Korean,3.6376924390899994,3.3973420029690247,3.5260668560635886
29,ON,French,3.934943647776943,3.3973420029690247,3.819251769668587
31,QC,Vietnamese,3.58219702378847,3.6299647553115046,3.7229653108329575
40,ON,Sandwiches,3.4656688919392105,3.3973420029690247,3.573672223926296
48,ON,Desserts,3.7357253865245936,3.3973420029690247,3.385276083022576
49,NV,Fast Food,2.8410143771269585,3.4254836166321416,2.8080914518390365
50,WI,Breakfast & Brunch,3.556090287199512,3.4541488603694517,3.893743309240315
51,AZ,Mexican,3.4264370711692815,3.409393797363903,3.452852955420958
52,AZ,Pizza,3.326125949549249,3.409393797363903,3.361739210561826
64,NV,American (Traditional),3.345962702457938,3.4254836166321416,3.4428039106875987
65,NV,Steakhouses,3.4762945464906334,3.4254836166321416,3.7144055843893873
67,ON,Mexican,3.4264370711692815,3.3973420029690247,3.2403194835668656
72,QC,Pizza,3.326125949549249,3.6299647553115046,3.3207923029351605
75,ON,Seafood,3.533062321036889,3.3973420029690247,3.446586154217296
76,ON,Pizza,3.326125949549249,3.3973420029690247,3.2612710629386474
80,ON,Delis,3.6624210988814054,3.3973420029690247,3.6140941579538066
92,NV,Mexican,3.4264370711692815,3.4254836166321416,3.4596017224973754
98,PA,American (Traditional),3.345962702457938,3.4913315380625307,3.399633904773122
101,NV,American (New),3.5271599865950116,3.4254836166321416,3.6175727254754286
104,NV,Asian Fusion,3.5585777053867274,3.4254836166321416,3.9558339983412303
105,NV,Burgers,3.0197832738080166,3.4254836166321416,3.04719505674683
111,NV,Pizza,3.326125949549249,3.4254836166321416,3.2313547768373776
112,NV,Italian,3.574873602764115,3.4254836166321416,3.484896880179324
114,NV,Breakfast & Brunch,3.556090287199512,3.4254836166321416,3.5660280464910543
115,NV,Barbeque,3.5719061432182277,3.4254836166321416,3.6404511032228153
119,NV,Tex-Mex,2.999538768553029,3.4254836166321416,2.9831801345204347
120,NV,Thai,3.547292142856443,3.4254836166321416,3.7767050834792055
121,NV,Sandwiches,3.4656688919392105,3.4254836166321416,3.338933974421807
123,NV,Diners,3.46612881615825,3.4254836166321416,3.553650077964886
128,NV,Seafood,3.533062321036889,3.4254836166321416,3.721586443694483
130,NV,Cafes,3.765571843850624,3.4254836166321416,3.552157818600513
138,NV,Hot Dogs,3.4821661125065813,3.4254836166321416,3.231845949232644
149,NV,Desserts,3.7357253865245936,3.4254836166321416,3.9847045938144543
153,NV,Mediterranean,3.7209151345079814,3.4254836166321416,3.871501635954773
168,NV,Chicken Wings,2.9820956646667756,3.4254836166321416,2.999247520679832
170,AZ,Seafood,3.533062321036889,3.409393797363903,3.5965582079386453
172,AZ,Breakfast & Brunch,3.556090287199512,3.409393797363903,3.6288709313626706
175,AZ,Steakhouses,3.4762945464906334,3.409393797363903,3.3701499523238776
176,NV,Salad,3.6787168264826438,3.4254836166321416,3.76347932123745
180,NV,Vegetarian,3.85283178600475,3.4254836166321416,3.8471248963174496
181,NV,Vietnamese,3.58219702378847,3.4254836166321416,3.5350153809590705
197,NV,Japanese,3.525448767662445,3.4254836166321416,3.6912301692589735
198,NV,Chinese,3.3296732343820166,3.4254836166321416,3.3491286470850676
202,NV,Indian,3.6020714489432097,3.4254836166321416,3.716631599997688
230,NV,Sushi Bars,3.537939797996439,3.4254836166321416,3.7970772055468345
234,AZ,Burgers,3.0197832738080166,3.409393797363903,2.93286981894742
241,NC,Pizza,3.326125949549249,3.394482338437879,3.2606707925566933
243,NV,French,3.934943647776943,3.4254836166321416,4.158807724035996
251,AZ,American (New),3.5271599865950116,3.409393797363903,3.5904383502760235
254,NV,Delis,3.6624210988814054,3.4254836166321416,3.5936371675801904
257,NC,American (Traditional),3.345962702457938,3.394482338437879,3.448189089760908
263,AZ,Sandwiches,3.4656688919392105,3.409393797363903,3.4216989390411596
265,AZ,American (Traditional),3.345962702457938,3.409393797363903,3.275219526400989
267,PA,Fast Food,2.8410143771269585,3.4913315380625307,3.099552577911151
286,AZ,Diners,3.46612881615825,3.409393797363903,3.4062657851710147
287,AZ,Caribbean,3.7748094892314756,3.409393797363903,3.9998677352529963
288,AZ,Italian,3.574873602764115,3.409393797363903,3.6434934081827883
290,AZ,Greek,3.539781449957626,3.409393797363903,3.8678093100881847
292,AZ,Cafes,3.765571843850624,3.409393797363903,3.7839883432535273
295,AZ,Asian Fusion,3.5585777053867274,3.409393797363903,3.699768231943144
297,AZ,Mediterranean,3.7209151345079814,3.409393797363903,3.893815167232194
300,AZ,Salad,3.6787168264826438,3.409393797363903,3.7858494111477237
306,AZ,Chinese,3.3296732343820166,3.409393797363903,3.3292012759688174
308,AZ,Delis,3.6624210988814054,3.409393797363903,3.6342278843179665
309,AZ,Thai,3.547292142856443,3.409393797363903,3.8497081269067346
312,AZ,Desserts,3.7357253865245936,3.409393797363903,3.803073727893696
314,AZ,Latin American,3.8264545108293024,3.409393797363903,4.1105168079528696
315,AZ,Vietnamese,3.58219702378847,3.409393797363903,3.7188140424517915
321,AZ,Fast Food,2.8410143771269585,3.409393797363903,2.7710899542068153
322,AZ,Vegetarian,3.85283178600475,3.409393797363903,4.0599666088781445
337,AZ,French,3.934943647776943,3.409393797363903,4.087137552612381
343,AZ,Hot Dogs,3.4821661125065813,3.409393797363903,3.654655834431979
346,AZ,Barbeque,3.5719061432182277,3.409393797363903,3.701739601197143
