,num_revs,state,category
0,10,QC,Diners
1,8,QC,Diners
2,14,QC,Diners
3,6,QC,Diners
4,5,QC,Diners
5,8,QC,Diners
6,10,QC,Diners
7,7,QC,Diners
8,4,QC,Diners
9,6,QC,Diners
10,2,QC,Diners
11,10,QC,Diners
12,13,QC,Diners
13,8,QC,Diners
14,5,QC,Diners
15,9,QC,Diners
16,10,QC,Diners
17,6,QC,Diners
18,8,QC,Diners
19,7,QC,Diners
20,8,QC,Diners
21,14,QC,Diners
22,10,QC,Diners
23,6,QC,Diners
24,12,QC,Diners
25,3,QC,Diners
26,12,QC,Diners
27,11,QC,Diners
28,7,QC,Diners
29,4,QC,Diners
30,5,QC,Diners
31,7,QC,Diners
32,10,QC,Diners
33,2,QC,Diners
34,9,QC,Diners
35,6,QC,Diners
36,11,QC,Diners
37,6,QC,Diners
38,8,QC,Diners
39,8,QC,Diners
40,7,QC,Diners
41,9,QC,Diners
42,11,QC,Diners
43,8,QC,Diners
44,9,QC,Diners
45,8,QC,Diners
46,5,QC,Diners
47,8,QC,Diners
48,9,QC,Diners
49,16,QC,Diners
50,6,QC,Diners
51,9,QC,Diners
52,6,QC,Diners
53,8,QC,Diners
54,9,QC,Diners
55,10,QC,Diners
56,4,QC,Diners
57,6,QC,Diners
58,10,QC,Diners
59,8,QC,Diners
60,9,QC,Diners
61,10,QC,Diners
62,8,QC,Diners
63,11,QC,Diners
64,6,QC,Diners
65,12,QC,Diners
66,10,QC,Diners
67,8,QC,Diners
68,10,QC,Diners
69,6,QC,Diners
70,6,QC,Diners
71,13,QC,Diners
72,11,QC,Diners
73,6,QC,Diners
74,8,QC,Diners
75,5,QC,Diners
76,8,QC,Diners
77,4,QC,Diners
78,8,QC,Diners
79,11,QC,Diners
80,8,QC,Diners
81,9,QC,Diners
82,8,QC,Diners
83,14,QC,Diners
84,11,QC,Diners
85,10,QC,Diners
86,9,QC,Diners
87,13,QC,Diners
88,7,QC,Diners
89,10,QC,Diners
90,8,QC,Diners
91,7,QC,Diners
92,7,QC,Diners
93,11,QC,Diners
94,4,QC,Diners
95,8,QC,Diners
96,5,QC,Diners
97,8,QC,Diners
98,13,QC,Diners
99,11,QC,Diners
100,8,QC,Diners
101,9,QC,Diners
102,12,QC,Diners
103,8,QC,Diners
104,9,QC,Diners
105,7,QC,Diners
106,12,QC,Diners
107,4,QC,Diners
108,5,QC,Diners
109,5,QC,Diners
110,11,QC,Diners
111,8,QC,Diners
112,7,QC,Diners
113,9,QC,Diners
114,8,QC,Diners
115,8,QC,Diners
116,7,QC,Diners
117,11,QC,Diners
118,5,QC,Diners
119,7,QC,Diners
120,9,QC,Diners
121,4,QC,Diners
122,3,QC,Diners
123,7,QC,Diners
124,7,QC,Diners
125,10,QC,Diners
126,11,QC,Diners
127,5,QC,Diners
128,10,QC,Diners
129,5,QC,Diners
130,5,QC,Diners
131,7,QC,Diners
132,2,QC,Diners
133,7,QC,Diners
134,16,QC,Diners
135,4,QC,Diners
136,6,QC,Diners
137,7,QC,Diners
138,4,QC,Diners
139,9,QC,Diners
140,3,QC,Diners
141,3,QC,Diners
142,7,QC,Diners
143,7,QC,Diners
144,8,QC,Diners
145,7,QC,Diners
146,11,QC,Diners
147,6,QC,Diners
148,8,QC,Diners
149,2,QC,Diners
150,8,QC,Diners
151,14,QC,Diners
152,7,QC,Diners
153,9,QC,Diners
154,10,QC,Diners
155,4,QC,Diners
156,6,QC,Diners
157,4,QC,Diners
158,6,QC,Diners
159,11,QC,Diners
160,14,QC,Diners
161,6,QC,Diners
162,1,QC,Diners
163,5,QC,Diners
164,14,QC,Diners
165,7,QC,Diners
166,8,QC,Diners
167,6,QC,Diners
168,7,QC,Diners
169,6,QC,Diners
170,5,QC,Diners
171,8,QC,Diners
172,7,QC,Diners
173,8,QC,Diners
174,4,QC,Diners
175,6,QC,Diners
176,4,QC,Diners
177,6,QC,Diners
178,4,QC,Diners
179,4,QC,Diners
180,4,QC,Diners
181,9,QC,Diners
182,7,QC,Diners
183,7,QC,Diners
184,5,QC,Diners
185,11,QC,Diners
186,10,QC,Diners
187,6,QC,Diners
188,4,QC,Diners
189,5,QC,Diners
190,14,QC,Diners
191,6,QC,Diners
192,6,QC,Diners
193,6,QC,Diners
194,9,QC,Diners
195,2,QC,Diners
196,16,QC,Diners
197,4,QC,Diners
198,3,QC,Diners
199,13,QC,Diners
200,6,QC,Diners
201,4,QC,Diners
202,8,QC,Diners
203,7,QC,Diners
204,7,QC,Diners
205,4,QC,Diners
206,5,QC,Diners
207,4,QC,Diners
208,7,QC,Diners
209,6,QC,Diners
210,8,QC,Diners
211,4,QC,Diners
212,8,QC,Diners
213,7,QC,Diners
214,3,QC,Diners
215,1,QC,Diners
216,6,QC,Diners
217,10,QC,Diners
218,5,QC,Diners
219,5,QC,Diners
220,9,QC,Diners
221,8,QC,Diners
222,7,QC,Diners
223,6,QC,Diners
224,10,QC,Diners
225,12,QC,Diners
226,6,QC,Diners
227,10,QC,Diners
228,4,QC,Diners
229,8,QC,Diners
230,9,QC,Diners
231,5,QC,Diners
232,9,QC,Diners
233,7,QC,Diners
234,5,QC,Diners
235,2,QC,Diners
236,6,QC,Diners
237,5,QC,Diners
238,5,QC,Diners
239,7,QC,Diners
240,2,QC,Diners
241,8,QC,Diners
242,11,QC,Diners
243,3,QC,Diners
244,4,QC,Diners
245,9,QC,Diners
246,8,QC,Diners
247,4,QC,Diners
248,3,QC,Diners
249,6,QC,Diners
250,9,QC,Diners
251,8,QC,Diners
252,5,QC,Diners
253,7,QC,Diners
254,7,QC,Diners
