,day,num_revs,state,category
0,1,8.0,QC,Diners
1,2,6.0,QC,Diners
2,3,6.0,QC,Diners
3,4,3.0,QC,Diners
4,5,6.0,QC,Diners
5,6,7.0,QC,Diners
6,7,5.0,QC,Diners
7,8,7.0,QC,Diners
8,9,5.0,QC,Diners
9,10,6.0,QC,Diners
10,11,2.0,QC,Diners
11,12,6.0,QC,Diners
12,13,6.0,QC,Diners
13,14,9.0,QC,Diners
14,15,6.0,QC,Diners
15,16,3.0,QC,Diners
16,17,6.0,QC,Diners
17,18,0.0,QC,Diners
18,19,4.0,QC,Diners
19,20,5.0,QC,Diners
20,21,12.0,QC,Diners
21,22,12.0,QC,Diners
22,23,7.0,QC,Diners
23,24,9.0,QC,Diners
24,25,4.0,QC,Diners
25,26,9.0,QC,Diners
26,27,14.0,QC,Diners
27,28,8.0,QC,Diners
28,29,9.0,QC,Diners
29,30,6.0,QC,Diners
30,31,8.0,QC,Diners
31,32,16.0,QC,Diners
32,33,10.0,QC,Diners
33,34,11.0,QC,Diners
34,35,5.0,QC,Diners
35,36,9.0,QC,Diners
36,37,7.0,QC,Diners
37,38,7.0,QC,Diners
38,39,9.0,QC,Diners
39,40,7.0,QC,Diners
40,41,9.0,QC,Diners
41,42,9.0,QC,Diners
42,43,6.0,QC,Diners
43,44,4.0,QC,Diners
44,45,4.0,QC,Diners
45,46,8.0,QC,Diners
46,47,4.0,QC,Diners
47,48,14.0,QC,Diners
48,49,4.0,QC,Diners
49,50,6.0,QC,Diners
50,51,5.0,QC,Diners
51,52,5.0,QC,Diners
0,1,13.0,QC,Canadian (New)
1,2,13.0,QC,Canadian (New)
2,3,10.0,QC,Canadian (New)
3,4,9.0,QC,Canadian (New)
4,5,9.0,QC,Canadian (New)
5,6,8.0,QC,Canadian (New)
6,7,10.0,QC,Canadian (New)
7,8,10.0,QC,Canadian (New)
8,9,7.0,QC,Canadian (New)
9,10,9.0,QC,Canadian (New)
10,11,9.0,QC,Canadian (New)
11,12,9.0,QC,Canadian (New)
12,13,18.0,QC,Canadian (New)
13,14,16.0,QC,Canadian (New)
14,15,10.0,QC,Canadian (New)
15,16,15.0,QC,Canadian (New)
