,revs_aday
0,4709
1,6201
2,6526
3,6257
4,5543
5,5606
6,5623
7,5662
8,5585
9,5465
10,5410
11,5057
12,5059
13,5278
14,5390
15,5575
16,5895
17,5756
18,5549
19,5271
20,5465
21,5467
22,5576
23,5595
24,5604
25,5147
26,5205
27,5456
28,5537
29,5622
30,5674
31,5553
32,4807
33,4757
34,5052
35,5016
36,5060
37,5268
38,5365
39,5236
40,4966
41,5183
42,5512
43,5369
44,5707
45,6632
46,6067
47,5816
48,5992
49,6097
50,6268
51,6135
52,6197
53,5678
54,5543
55,5560
56,5812
57,5824
58,5990
59,5600
60,5598
61,5111
62,5723
63,5997
64,5792
65,5464
66,5563
67,5431
68,5306
69,5508
70,5943
71,5787
72,5560
73,5772
74,5583
75,5268
76,5445
77,6169
78,5987
79,5433
80,5827
81,5551
82,5580
83,5755
84,6416
85,6031
86,5723
87,5852
88,5768
89,5656
90,5820
91,6111
92,6154
93,5632
94,5577
95,5512
96,5473
97,5878
98,6230
99,6022
100,5502
101,5455
102,5558
103,5447
104,5762
105,5841
106,5631
107,5830
108,5753
109,5487
110,5191
111,5788
112,5991
113,5779
114,5663
115,5793
116,5658
117,5434
118,5787
119,6304
120,5852
121,5503
122,5360
123,5424
124,5211
125,5628
126,5855
127,5644
128,5529
129,5512
130,5641
131,5475
132,5785
133,6098
134,6102
135,5515
136,5648
137,5691
138,5641
139,5548
140,5946
141,5639
142,5618
143,5755
144,5680
145,5482
146,5804
147,6027
148,6243
149,5921
150,5950
151,5923
152,5590
153,5932
154,6102
155,5825
156,5671
157,5742
158,5471
159,5782
160,5964
161,6127
162,5960
163,5755
164,5798
165,5666
166,5600
167,6044
168,6315
169,5977
170,5981
171,6029
172,6135
173,5930
174,6192
175,6696
176,6359
177,6118
178,6159
179,6074
180,5860
181,6209
182,6649
183,6445
184,6044
185,5775
186,6747
187,6328
188,6683
189,7039
190,6687
191,6271
192,6253
193,6554
194,6402
195,6475
196,7069
197,6674
198,6503
199,6362
200,6235
201,6240
202,6528
203,6626
204,6593
205,6294
206,6490
207,6531
208,6288
209,6715
210,7151
211,6685
212,6373
213,6359
214,6108
215,6107
216,6618
217,6593
218,6604
219,6460
220,6498
221,6607
222,6255
223,6775
224,7194
225,6780
226,6594
227,6493
228,6430
229,6097
230,6760
231,6702
232,6504
233,6379
234,6314
235,6448
236,5806
237,6147
238,6367
239,6232
240,6121
241,6248
242,6049
243,5916
244,6159
245,6446
246,6436
247,6267
248,6504
249,6317
250,6108
251,6011
252,6198
253,6047
254,5780
255,5956
256,5791
257,5649
258,5803
259,6237
260,5794
261,5921
262,5935
263,5791
264,5725
265,5886
266,6075
267,5929
268,5760
269,5960
270,5674
271,5699
272,5614
273,5965
274,5531
275,5597
276,5630
277,5556
278,5244
279,5592
280,6196
281,6036
282,5675
283,5817
284,5773
285,5727
286,5992
287,6261
288,5896
289,5749
290,5783
291,5843
292,5498
293,5973
294,6101
295,6069
296,5708
297,5777
298,5766
299,5411
300,5760
301,5857
302,5359
303,5136
304,4796
305,5670
306,5575
307,5767
308,6180
309,5960
310,6202
311,6041
312,5638
313,5562
314,6105
315,6435
316,5971
317,5865
318,6056
319,6102
320,5715
321,5924
322,6021
323,5764
324,5857
325,5722
326,5379
327,4888
328,5253
329,5661
330,5324
331,5426
332,5758
333,5771
334,5467
335,5567
336,5858
337,5723
338,5735
339,5810
340,5594
341,5399
342,5541
343,5733
344,4942
345,4222
346,4313
347,4286
348,4087
349,4103
350,4264
351,4123
352,4031
353,4450
354,4553
355,4507
356,4407
357,3866
358,2584
359,3751
360,5466
361,6154
362,6104
363,6201
364,5974
