,state,category,cat_median,cat_25,cat_75,cat_max,cat_min,state_median,state_25,state_75,state_max,state_min,state_cat_median,state_cat_25,state_cat_75,state_cat_max,state_cat_min
0,QC,Diners,3.467741935483871,2.9867724867724865,3.9462585034013604,5.0,1.0,3.698214285714286,3.1067251461988303,4.176102941176471,5.0,1.0,3.5205882352941176,3.0,3.9855693657927085,4.774647887323944,2.0
84,QC,Canadian (New),3.5714285714285716,3.0,4.0,5.0,1.0,3.698214285714286,3.1067251461988303,4.176102941176471,5.0,1.0,3.721212121212121,3.1460084033613445,4.315789473684211,5.0,1.0
134,QC,Fast Food,2.6666666666666665,2.066666666666667,3.3513513513513513,5.0,1.0,3.698214285714286,3.1067251461988303,4.176102941176471,5.0,1.0,3.0,2.3666666666666667,3.75,5.0,1.0
195,QC,Bakeries,3.923076923076923,3.3461538461538463,4.321428571428571,5.0,1.0,3.698214285714286,3.1067251461988303,4.176102941176471,5.0,1.0,4.199137931034483,3.878024193548387,4.541666666666667,5.0,3.2
592,ON,Thai,3.6470588235294117,3.142857142857143,4.0,5.0,1.0,3.3974358974358974,2.875,3.8615384615384616,5.0,1.0,3.3636363636363638,2.8399122807017547,3.7823529411764705,5.0,1.3333333333333333
703,ON,Fast Food,2.6666666666666665,2.066666666666667,3.3513513513513513,5.0,1.0,3.3974358974358974,2.875,3.8615384615384616,5.0,1.0,2.8786764705882355,2.2,3.4285714285714284,5.0,1.0
954,ON,Breakfast & Brunch,3.608695652173913,3.111111111111111,4.0,5.0,1.2222222222222223,3.3974358974358974,2.875,3.8615384615384616,5.0,1.0,3.4641025641025642,3.0,3.84688995215311,5.0,1.375
1030,ON,American (Traditional),3.3275862068965516,2.8276785714285717,3.7682005494505493,5.0,1.0,3.3974358974358974,2.875,3.8615384615384616,5.0,1.0,3.1569230769230767,2.603846153846154,3.53986013986014,5.0,1.3333333333333333
1064,ON,Burgers,3.0,2.25,3.6111632270168856,5.0,1.0,3.3974358974358974,2.875,3.8615384615384616,5.0,1.0,3.1511627906976742,2.584325396825397,3.625,5.0,1.0
1482,ON,American (New),3.515151515151515,3.0,3.99271499644634,5.0,1.0,3.3974358974358974,2.875,3.8615384615384616,5.0,1.0,3.3275862068965516,2.9705882352941178,3.8187455705173634,5.0,2.0
2289,ON,Vietnamese,3.625,3.2,4.0,5.0,1.6111111111111112,3.3974358974358974,2.875,3.8615384615384616,5.0,1.0,3.4705882352941178,3.0,3.8181818181818183,5.0,1.6111111111111112
2357,ON,Chinese,3.3333333333333335,2.888888888888889,3.75,5.0,1.0,3.3974358974358974,2.875,3.8615384615384616,5.0,1.0,3.272727272727273,2.8333333333333335,3.625,5.0,1.0
2371,ON,Canadian (New),3.5714285714285716,3.0,4.0,5.0,1.0,3.3974358974358974,2.875,3.8615384615384616,5.0,1.0,3.4525862068965516,2.9486607142857144,3.9447586726998494,4.875,1.4285714285714286
2429,QC,Breakfast & Brunch,3.608695652173913,3.111111111111111,4.0,5.0,1.2222222222222223,3.698214285714286,3.1067251461988303,4.176102941176471,5.0,1.0,3.75,3.3333333333333335,4.147826086956521,5.0,1.6
3435,ON,Japanese,3.546511627906977,3.1164936096858042,4.0,5.0,1.0,3.3974358974358974,2.875,3.8615384615384616,5.0,1.0,3.5,3.0427350427350426,3.8771929824561404,5.0,1.0
3488,ON,Asian Fusion,3.5555555555555554,3.059831932773109,3.973373983739837,5.0,1.0,3.3974358974358974,2.875,3.8615384615384616,5.0,1.0,3.3333333333333335,2.923951048951049,3.7697802197802197,5.0,1.0
3650,ON,Sushi Bars,3.6,3.082482993197279,4.0,5.0,1.3333333333333333,3.3974358974358974,2.875,3.8615384615384616,5.0,1.0,3.40625,2.89963768115942,3.8735829959514168,5.0,1.3333333333333333
3694,ON,Cafes,3.824644549763033,3.25,4.275862068965517,5.0,1.3333333333333333,3.3974358974358974,2.875,3.8615384615384616,5.0,1.0,3.6666666666666665,3.0,4.0625,5.0,1.3333333333333333
3710,ON,Italian,3.585144927536232,3.085714285714286,4.0,5.0,1.0,3.3974358974358974,2.875,3.8615384615384616,5.0,1.0,3.5508620689655173,3.0,4.0,5.0,1.2
3859,ON,Mediterranean,3.771712158808933,3.272727272727273,4.156826523712933,5.0,1.0,3.3974358974358974,2.875,3.8615384615384616,5.0,1.0,3.5454545454545454,3.0,3.9740259740259742,5.0,1.0
4053,ON,Bakeries,3.923076923076923,3.3461538461538463,4.321428571428571,5.0,1.0,3.3974358974358974,2.875,3.8615384615384616,5.0,1.0,3.7,3.2962962962962963,4.105263157894737,5.0,2.0
4654,ON,Korean,3.6049382716049383,3.2133090694471766,4.0,5.0,1.5384615384615385,3.3974358974358974,2.875,3.8615384615384616,5.0,1.0,3.5,3.1176239181746657,3.894902634593356,5.0,1.5384615384615385
4743,ON,French,3.955548274355614,3.4,4.3206962025316455,5.0,1.3333333333333333,3.3974358974358974,2.875,3.8615384615384616,5.0,1.0,3.7561475409836067,3.321428571428571,4.078571428571428,4.833333333333333,2.0
5067,QC,Vietnamese,3.625,3.2,4.0,5.0,1.6111111111111112,3.698214285714286,3.1067251461988303,4.176102941176471,5.0,1.0,3.6923076923076925,3.2111111111111112,4.004464285714286,5.0,1.6666666666666667
5992,ON,Sandwiches,3.5,2.8333333333333335,4.0,5.0,1.0,3.3974358974358974,2.875,3.8615384615384616,5.0,1.0,3.5217391304347827,2.7083333333333335,4.111111111111111,5.0,1.0
6660,ON,Desserts,3.75,3.1666666666666665,4.173913043478261,5.0,1.7647058823529411,3.3974358974358974,2.875,3.8615384615384616,5.0,1.0,3.366028708133971,2.979166666666667,3.973792486583184,4.818181818181818,2.0
6982,NV,Fast Food,2.6666666666666665,2.066666666666667,3.3513513513513513,5.0,1.0,3.464720013869282,2.8333333333333335,3.9868831407081267,5.0,1.0,2.65,2.1449579831932772,3.180894308943089,5.0,1.0
7023,WI,Breakfast & Brunch,3.608695652173913,3.111111111111111,4.0,5.0,1.2222222222222223,3.4716981132075473,2.888888888888889,3.9671455938697315,5.0,1.0,3.7938144329896906,3.449438202247191,4.063291139240507,5.0,2.3333333333333335
7214,AZ,Mexican,3.451216287678477,2.9310344827586206,3.9444444444444446,5.0,1.0,3.449781659388646,2.8125,3.9444444444444446,5.0,1.0,3.4642857142857144,2.9570487483530963,3.96,5.0,1.0
7317,AZ,Pizza,3.370967741935484,2.6821789321789318,3.8925070028011204,5.0,1.0,3.449781659388646,2.8125,3.9444444444444446,5.0,1.0,3.350868725868726,2.6666666666666665,3.838976013286914,5.0,1.0
8688,NV,American (Traditional),3.3275862068965516,2.8276785714285717,3.7682005494505493,5.0,1.0,3.464720013869282,2.8333333333333335,3.9868831407081267,5.0,1.0,3.3333333333333335,2.8786274003272196,3.8285811092577147,5.0,1.4
8745,NV,Steakhouses,3.4615384615384617,3.0,3.926470588235294,5.0,1.3333333333333333,3.464720013869282,2.8333333333333335,3.9868831407081267,5.0,1.0,3.8355876393110435,3.413519451785385,4.060424604250028,5.0,1.5
10319,ON,Mexican,3.451216287678477,2.9310344827586206,3.9444444444444446,5.0,1.0,3.3974358974358974,2.875,3.8615384615384616,5.0,1.0,3.2988945578231292,2.7857142857142856,3.769230769230769,5.0,1.3333333333333333
10707,QC,Pizza,3.370967741935484,2.6821789321789318,3.8925070028011204,5.0,1.0,3.698214285714286,3.1067251461988303,4.176102941176471,5.0,1.0,3.5,2.8,4.0,5.0,1.0
10846,ON,Seafood,3.5789473684210527,3.104054054054054,4.0,5.0,1.0,3.3974358974358974,2.875,3.8615384615384616,5.0,1.0,3.5,3.053892215568862,3.864250614250614,5.0,1.2
10889,ON,Pizza,3.370967741935484,2.6821789321789318,3.8925070028011204,5.0,1.0,3.3974358974358974,2.875,3.8615384615384616,5.0,1.0,3.3083916083916085,2.6666666666666665,3.883490896358543,5.0,1.0
11055,ON,Delis,3.6,3.181235431235431,4.150961538461539,5.0,1.0,3.3974358974358974,2.875,3.8615384615384616,5.0,1.0,3.5,2.8119658119658117,4.0,5.0,1.5555555555555556
12401,NV,Mexican,3.451216287678477,2.9310344827586206,3.9444444444444446,5.0,1.0,3.464720013869282,2.8333333333333335,3.9868831407081267,5.0,1.0,3.4598308668076108,2.9755639097744364,4.0,5.0,1.0
12875,PA,American (Traditional),3.3275862068965516,2.8276785714285717,3.7682005494505493,5.0,1.0,3.5,3.0,4.0,5.0,1.0,3.436141304347826,3.0,3.8378630298273158,5.0,1.0
13104,NV,American (New),3.515151515151515,3.0,3.99271499644634,5.0,1.0,3.464720013869282,2.8333333333333335,3.9868831407081267,5.0,1.0,3.6578512396694216,3.111111111111111,4.063458588957055,4.9411764705882355,1.0
