States,Cuisine,Rating
QC,Diners,3.46
ON,Diners,3.39
NV,Diners,3.41
WI,Diners,2.86
AZ,Diners,3.42
PA,Diners,3.5
NC,Diners,3.36
IL,Diners,2.45
OH,Diners,3.6
SC,Diners,3.63
QC,Canadian (New),3.65
ON,Canadian (New),3.41
NV,Canadian (New),0.0
WI,Canadian (New),0.0
AZ,Canadian (New),0.0
PA,Canadian (New),0.0
NC,Canadian (New),0.0
IL,Canadian (New),0.0
OH,Canadian (New),0.0
SC,Canadian (New),0.0
QC,Fast Food,3.08
ON,Fast Food,2.82
NV,Fast Food,2.69
WI,Fast Food,2.66
AZ,Fast Food,2.68
PA,Fast Food,2.77
NC,Fast Food,2.68
IL,Fast Food,2.54
OH,Fast Food,2.77
SC,Fast Food,2.68
QC,Bakeries,4.19
ON,Bakeries,3.65
NV,Bakeries,3.93
WI,Bakeries,3.98
AZ,Bakeries,3.59
PA,Bakeries,3.82
NC,Bakeries,3.86
IL,Bakeries,4.02
OH,Bakeries,3.73
SC,Bakeries,4.4
QC,Thai,3.28
ON,Thai,3.28
NV,Thai,3.77
WI,Thai,3.61
AZ,Thai,3.84
PA,Thai,3.86
NC,Thai,3.73
IL,Thai,3.6
OH,Thai,3.81
SC,Thai,0.0
QC,Breakfast & Brunch,3.69
ON,Breakfast & Brunch,3.42
NV,Breakfast & Brunch,3.6
WI,Breakfast & Brunch,3.74
AZ,Breakfast & Brunch,3.6
PA,Breakfast & Brunch,3.49
NC,Breakfast & Brunch,3.47
IL,Breakfast & Brunch,3.35
OH,Breakfast & Brunch,3.53
SC,Breakfast & Brunch,3.21
QC,American (Traditional),3.35
ON,American (Traditional),3.09
NV,American (Traditional),3.34
WI,American (Traditional),3.52
AZ,American (Traditional),3.25
PA,American (Traditional),3.43
NC,American (Traditional),3.31
IL,American (Traditional),3.26
OH,American (Traditional),3.28
SC,American (Traditional),3.26
QC,Burgers,3.31
ON,Burgers,3.08
NV,Burgers,2.99
WI,Burgers,2.88
AZ,Burgers,2.82
PA,Burgers,2.9
NC,Burgers,2.79
IL,Burgers,2.79
OH,Burgers,2.82
SC,Burgers,2.27
QC,American (New),3.39
ON,American (New),3.34
NV,American (New),3.56
WI,American (New),3.38
AZ,American (New),3.5
PA,American (New),3.44
NC,American (New),3.38
IL,American (New),3.17
OH,American (New),3.5
SC,American (New),3.28
QC,Vietnamese,3.62
ON,Vietnamese,3.39
NV,Vietnamese,3.55
WI,Vietnamese,3.73
AZ,Vietnamese,3.78
PA,Vietnamese,3.62
NC,Vietnamese,3.88
IL,Vietnamese,3.61
OH,Vietnamese,3.83
SC,Vietnamese,0.0
QC,Chinese,3.43
ON,Chinese,3.22
NV,Chinese,3.34
WI,Chinese,3.36
AZ,Chinese,3.31
PA,Chinese,3.38
NC,Chinese,3.26
IL,Chinese,3.3
OH,Chinese,3.29
SC,Chinese,3.52
QC,Japanese,3.64
ON,Japanese,3.44
NV,Japanese,3.69
WI,Japanese,3.56
AZ,Japanese,3.46
PA,Japanese,3.47
NC,Japanese,3.5
IL,Japanese,3.38
OH,Japanese,3.48
SC,Japanese,3.35
QC,Asian Fusion,3.57
ON,Asian Fusion,3.29
NV,Asian Fusion,3.8
WI,Asian Fusion,3.45
AZ,Asian Fusion,3.62
PA,Asian Fusion,3.61
NC,Asian Fusion,3.6
IL,Asian Fusion,3.38
OH,Asian Fusion,3.49
SC,Asian Fusion,3.41
QC,Sushi Bars,3.59
ON,Sushi Bars,3.36
NV,Sushi Bars,3.78
WI,Sushi Bars,3.55
AZ,Sushi Bars,3.66
PA,Sushi Bars,3.59
NC,Sushi Bars,3.42
IL,Sushi Bars,3.14
OH,Sushi Bars,3.77
SC,Sushi Bars,3.0
QC,Cafes,3.94
ON,Cafes,3.51
NV,Cafes,3.57
WI,Cafes,4.03
AZ,Cafes,3.78
PA,Cafes,3.84
NC,Cafes,3.67
IL,Cafes,3.05
OH,Cafes,3.75
SC,Cafes,3.33
QC,Italian,3.67
ON,Italian,3.47
NV,Italian,3.45
WI,Italian,3.25
AZ,Italian,3.56
PA,Italian,3.46
NC,Italian,3.44
IL,Italian,3.52
OH,Italian,3.43
SC,Italian,3.32
QC,Mediterranean,3.74
ON,Mediterranean,3.43
NV,Mediterranean,3.84
WI,Mediterranean,3.66
AZ,Mediterranean,3.8
PA,Mediterranean,4.0
NC,Mediterranean,3.72
IL,Mediterranean,3.64
OH,Mediterranean,3.96
SC,Mediterranean,0.0
QC,Korean,3.85
ON,Korean,3.49
NV,Korean,3.81
WI,Korean,3.62
AZ,Korean,3.34
PA,Korean,3.98
NC,Korean,3.64
IL,Korean,3.58
OH,Korean,4.07
SC,Korean,0.0
QC,French,3.87
ON,French,3.67
NV,French,4.14
WI,French,4.11
AZ,French,3.77
PA,French,3.62
NC,French,3.79
IL,French,3.59
OH,French,4.26
SC,French,0.0
QC,Sandwiches,3.72
ON,Sandwiches,3.37
NV,Sandwiches,3.29
WI,Sandwiches,3.23
AZ,Sandwiches,3.39
PA,Sandwiches,3.59
NC,Sandwiches,3.4
IL,Sandwiches,3.08
OH,Sandwiches,3.36
SC,Sandwiches,3.24
QC,Desserts,3.91
ON,Desserts,3.43
NV,Desserts,3.8
WI,Desserts,3.85
AZ,Desserts,3.76
PA,Desserts,3.71
NC,Desserts,3.57
IL,Desserts,3.91
OH,Desserts,4.0
SC,Desserts,0.0
QC,Mexican,3.55
ON,Mexican,3.25
NV,Mexican,3.45
WI,Mexican,3.41
AZ,Mexican,3.42
PA,Mexican,3.45
NC,Mexican,3.42
IL,Mexican,3.4
OH,Mexican,3.37
SC,Mexican,3.18
QC,Pizza,3.36
ON,Pizza,3.22
NV,Pizza,3.13
WI,Pizza,3.24
AZ,Pizza,3.25
PA,Pizza,3.44
NC,Pizza,3.22
IL,Pizza,3.09
OH,Pizza,3.35
SC,Pizza,2.9
QC,Steakhouses,3.48
ON,Steakhouses,3.42
NV,Steakhouses,3.74
WI,Steakhouses,3.28
AZ,Steakhouses,3.36
PA,Steakhouses,3.17
NC,Steakhouses,3.44
IL,Steakhouses,2.84
OH,Steakhouses,3.3
SC,Steakhouses,0.0
QC,Seafood,3.66
ON,Seafood,3.45
NV,Seafood,3.67
WI,Seafood,3.51
AZ,Seafood,3.54
PA,Seafood,3.3
NC,Seafood,3.5
IL,Seafood,2.71
OH,Seafood,3.35
SC,Seafood,3.1
QC,Delis,3.37
ON,Delis,3.43
NV,Delis,3.51
WI,Delis,3.79
AZ,Delis,3.53
PA,Delis,3.98
NC,Delis,3.68
IL,Delis,3.89
OH,Delis,3.76
SC,Delis,3.21
QC,Barbeque,3.48
ON,Barbeque,3.42
NV,Barbeque,3.51
WI,Barbeque,3.57
AZ,Barbeque,3.5
PA,Barbeque,3.54
NC,Barbeque,3.55
IL,Barbeque,3.77
OH,Barbeque,3.35
SC,Barbeque,3.89
QC,Tex-Mex,3.5
ON,Tex-Mex,3.16
NV,Tex-Mex,2.98
WI,Tex-Mex,3.03
AZ,Tex-Mex,3.03
PA,Tex-Mex,2.67
NC,Tex-Mex,2.83
IL,Tex-Mex,3.03
OH,Tex-Mex,2.87
SC,Tex-Mex,3.06
QC,Hot Dogs,3.71
ON,Hot Dogs,3.29
NV,Hot Dogs,3.38
WI,Hot Dogs,3.79
AZ,Hot Dogs,3.7
PA,Hot Dogs,3.6
NC,Hot Dogs,3.0
IL,Hot Dogs,2.89
OH,Hot Dogs,3.4
SC,Hot Dogs,0.0
QC,Chicken Wings,2.85
ON,Chicken Wings,2.9
NV,Chicken Wings,2.93
WI,Chicken Wings,2.64
AZ,Chicken Wings,2.81
PA,Chicken Wings,2.93
NC,Chicken Wings,2.89
IL,Chicken Wings,3.23
OH,Chicken Wings,2.8
SC,Chicken Wings,2.7
QC,Salad,3.72
ON,Salad,3.62
NV,Salad,3.67
WI,Salad,3.47
AZ,Salad,3.64
PA,Salad,3.45
NC,Salad,3.53
IL,Salad,3.61
OH,Salad,3.5
SC,Salad,3.86
QC,Vegetarian,3.78
ON,Vegetarian,3.5
NV,Vegetarian,3.84
WI,Vegetarian,3.77
AZ,Vegetarian,3.99
PA,Vegetarian,3.69
NC,Vegetarian,3.93
IL,Vegetarian,2.65
OH,Vegetarian,4.15
SC,Vegetarian,0.0
QC,Indian,3.61
ON,Indian,3.46
NV,Indian,3.63
WI,Indian,3.98
AZ,Indian,3.57
PA,Indian,3.55
NC,Indian,3.45
IL,Indian,3.63
OH,Indian,3.7
SC,Indian,0.0
QC,Caribbean,3.97
ON,Caribbean,3.66
NV,Caribbean,4.07
WI,Caribbean,3.92
AZ,Caribbean,3.78
PA,Caribbean,4.04
NC,Caribbean,3.58
IL,Caribbean,0.0
OH,Caribbean,4.17
SC,Caribbean,0.0
QC,Greek,3.58
ON,Greek,3.24
NV,Greek,3.79
WI,Greek,3.32
AZ,Greek,3.81
PA,Greek,3.62
NC,Greek,3.65
IL,Greek,3.4
OH,Greek,3.67
SC,Greek,4.04
QC,Latin American,3.99
ON,Latin American,3.82
NV,Latin American,3.73
WI,Latin American,3.25
AZ,Latin American,3.81
PA,Latin American,3.95
NC,Latin American,3.88
IL,Latin American,3.88
OH,Latin American,4.0
